
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:13:14,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_fund
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-8.500000e+0,-2.903488e+1
-8.250000e+0,-2.878489e+1
-8.000000e+0,-2.853489e+1
-7.750000e+0,-2.828489e+1
-7.500000e+0,-2.803489e+1
-7.250000e+0,-2.778489e+1
-7.000000e+0,-2.753489e+1
-6.750000e+0,-2.728489e+1
-6.500000e+0,-2.703489e+1
-6.250000e+0,-2.678490e+1
-6.000000e+0,-2.653490e+1
-5.750000e+0,-2.628490e+1
-5.500000e+0,-2.603490e+1
-5.250000e+0,-2.578490e+1
-5.000000e+0,-2.553491e+1
-4.750000e+0,-2.528491e+1
-4.500000e+0,-2.503491e+1
-4.250000e+0,-2.478491e+1
-4.000000e+0,-2.453492e+1
-3.750000e+0,-2.428492e+1
-3.500000e+0,-2.403492e+1
-3.250000e+0,-2.378493e+1
-3.000000e+0,-2.353493e+1
-2.750000e+0,-2.328493e+1
-2.500000e+0,-2.303494e+1
-2.250000e+0,-2.278494e+1
-2.000000e+0,-2.253495e+1
-1.750000e+0,-2.228495e+1
-1.500000e+0,-2.203495e+1
-1.250000e+0,-2.178496e+1
-1.000000e+0,-2.153497e+1
-7.500000e-1,-2.128497e+1
-5.000000e-1,-2.103498e+1
-2.500000e-1,-2.078498e+1
0.000000e+0,-2.053499e+1
2.500000e-1,-2.028500e+1
5.000000e-1,-2.003501e+1
7.500000e-1,-1.978501e+1
1.000000e+0,-1.953502e+1
1.250000e+0,-1.928503e+1
1.500000e+0,-1.903504e+1
1.750000e+0,-1.878505e+1
2.000000e+0,-1.853506e+1
2.250000e+0,-1.828508e+1
2.500000e+0,-1.803509e+1
2.750000e+0,-1.778510e+1
3.000000e+0,-1.753511e+1
3.250000e+0,-1.728513e+1
3.500000e+0,-1.703515e+1
3.750000e+0,-1.678516e+1
4.000000e+0,-1.653518e+1
4.250000e+0,-1.628520e+1
4.500000e+0,-1.603522e+1
4.750000e+0,-1.578524e+1
5.000000e+0,-1.553526e+1
5.250000e+0,-1.528528e+1
5.500000e+0,-1.503531e+1
5.750000e+0,-1.478534e+1
6.000000e+0,-1.453536e+1
6.250000e+0,-1.428539e+1
6.500000e+0,-1.403542e+1
6.750000e+0,-1.378546e+1
7.000000e+0,-1.353549e+1
7.250000e+0,-1.328553e+1
7.500000e+0,-1.303557e+1
7.750000e+0,-1.278561e+1
8.000000e+0,-1.253566e+1
8.250000e+0,-1.228570e+1
8.500000e+0,-1.203575e+1
8.750000e+0,-1.178581e+1
9.000000e+0,-1.153586e+1
9.250000e+0,-1.128592e+1
9.500000e+0,-1.103598e+1
9.750000e+0,-1.078605e+1
1.000000e+1,-1.053612e+1
1.025000e+1,-1.028620e+1
1.050000e+1,-1.003628e+1
1.075000e+1,-9.786364e+0
1.100000e+1,-9.536454e+0
1.125000e+1,-9.286549e+0
1.150000e+1,-9.036651e+0
1.175000e+1,-8.786759e+0
1.200000e+1,-8.536873e+0
1.225000e+1,-8.286994e+0
1.250000e+1,-8.037123e+0
1.275000e+1,-7.787260e+0
1.300000e+1,-7.537405e+0
1.325000e+1,-7.287560e+0
1.350000e+1,-7.037724e+0
1.375000e+1,-6.787898e+0
1.400000e+1,-6.538084e+0
1.425000e+1,-6.288281e+0
1.450000e+1,-6.038490e+0
1.475000e+1,-5.788713e+0
1.500000e+1,-5.538950e+0
1.525000e+1,-5.289202e+0
1.550000e+1,-5.039470e+0
1.575000e+1,-4.789756e+0
1.600000e+1,-4.540059e+0
1.625000e+1,-4.290383e+0
1.650000e+1,-4.040728e+0
1.675000e+1,-3.791096e+0
1.700000e+1,-3.541487e+0
1.725000e+1,-3.291905e+0
1.750000e+1,-3.042351e+0
1.775000e+1,-2.792827e+0
1.800000e+1,-2.543335e+0
1.825000e+1,-2.293877e+0
1.850000e+1,-2.044457e+0
1.875000e+1,-1.795077e+0
1.900000e+1,-1.545739e+0
1.925000e+1,-1.296449e+0
1.950000e+1,-1.047208e+0
1.975000e+1,-7.980211e-1
2.000000e+1,-5.488928e-1
2.025000e+1,-2.998277e-1
2.050000e+1,-5.083088e-2
2.075000e+1,1.980919e-1
2.100000e+1,4.469345e-1
2.125000e+1,6.956900e-1
2.150000e+1,9.443501e-1
2.175000e+1,1.192908e+0
2.200000e+1,1.441354e+0
2.225000e+1,1.689679e+0
2.250000e+1,1.937870e+0
2.275000e+1,2.185916e+0
2.300000e+1,2.433803e+0
2.325000e+1,2.681517e+0
2.350000e+1,2.929040e+0
2.375000e+1,3.176355e+0
2.400000e+1,3.423440e+0
2.425000e+1,3.670273e+0
2.450000e+1,3.916829e+0
2.475000e+1,4.163078e+0
2.500000e+1,4.408991e+0
2.525000e+1,4.654529e+0
2.550000e+1,4.899653e+0
2.575000e+1,5.144318e+0
2.600000e+1,5.388474e+0
2.625000e+1,5.632063e+0
2.650000e+1,5.875020e+0
2.675000e+1,6.117270e+0
2.700000e+1,6.358731e+0
2.725000e+1,6.599306e+0
2.750000e+1,6.838884e+0
2.775000e+1,7.077336e+0
2.800000e+1,7.314517e+0
2.825000e+1,7.550252e+0
2.850000e+1,7.784333e+0
2.875000e+1,8.016512e+0
2.900000e+1,8.246486e+0
2.925000e+1,8.473866e+0
2.950000e+1,8.698154e+0
2.975000e+1,8.918683e+0
3.000000e+1,9.134544e+0
3.025000e+1,9.344519e+0
3.050000e+1,9.547095e+0
3.075000e+1,9.740712e+0
3.100000e+1,9.924204e+0
3.125000e+1,1.009711e+1
3.150000e+1,1.025961e+1
3.175000e+1,1.041230e+1
3.200000e+1,1.055598e+1
3.225000e+1,1.069146e+1
3.250000e+1,1.081955e+1
3.275000e+1,1.094094e+1
3.300000e+1,1.105626e+1
3.325000e+1,1.116602e+1
3.350000e+1,1.127068e+1
3.375000e+1,1.137058e+1
3.400000e+1,1.146603e+1
3.425000e+1,1.155732e+1
3.450000e+1,1.164467e+1
3.475000e+1,1.172829e+1
3.500000e+1,1.180832e+1
3.525000e+1,1.188494e+1
3.550000e+1,1.195833e+1
3.575000e+1,1.202865e+1
3.600000e+1,1.209602e+1
3.625000e+1,1.216052e+1
3.650000e+1,1.222225e+1
3.675000e+1,1.228134e+1
3.700000e+1,1.233795e+1
3.725000e+1,1.239221e+1
3.750000e+1,1.244422e+1
3.775000e+1,1.249409e+1
3.800000e+1,1.254186e+1
3.825000e+1,1.258760e+1
3.850000e+1,1.263140e+1
3.875000e+1,1.267337e+1
3.900000e+1,1.271364e+1
3.925000e+1,1.275235e+1
3.950000e+1,1.278961e+1
3.975000e+1,1.282550e+1
4.000000e+1,1.286012e+1
4.025000e+1,1.289350e+1
4.050000e+1,1.292570e+1
4.075000e+1,1.295674e+1
4.100000e+1,1.298668e+1
4.125000e+1,1.301558e+1
4.150000e+1,1.304354e+1
4.175000e+1,1.307064e+1
4.200000e+1,1.309697e+1
4.225000e+1,1.312260e+1
4.250000e+1,1.314759e+1
4.275000e+1,1.317200e+1
4.300000e+1,1.319586e+1
4.325000e+1,1.321919e+1
4.350000e+1,1.324200e+1
4.375000e+1,1.326431e+1
4.400000e+1,1.328608e+1
4.425000e+1,1.330732e+1
4.450000e+1,1.332801e+1
4.475000e+1,1.334817e+1
4.500000e+1,1.336785e+1
4.525000e+1,1.338707e+1
4.550000e+1,1.340590e+1
4.575000e+1,1.342437e+1
4.600000e+1,1.344252e+1
4.625000e+1,1.346038e+1
4.650000e+1,1.347797e+1
4.675000e+1,1.349530e+1
4.700000e+1,1.351238e+1
4.725000e+1,1.352923e+1
4.750000e+1,1.354584e+1
4.775000e+1,1.356221e+1
4.800000e+1,1.357834e+1
4.825000e+1,1.359420e+1
4.850000e+1,1.360979e+1
4.875000e+1,1.362507e+1
4.900000e+1,1.364004e+1
4.925000e+1,1.365469e+1
4.950000e+1,1.366901e+1
4.975000e+1,1.368302e+1
5.000000e+1,1.369676e+1

