
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:09:52,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-8.500000e+0,-8.500000e+0
-8.250000e+0,-8.250000e+0
-8.000000e+0,-8.000000e+0
-7.750000e+0,-7.750000e+0
-7.500000e+0,-7.500000e+0
-7.250000e+0,-7.250000e+0
-7.000000e+0,-7.000000e+0
-6.750000e+0,-6.750000e+0
-6.500000e+0,-6.500000e+0
-6.250000e+0,-6.250000e+0
-6.000000e+0,-6.000000e+0
-5.750000e+0,-5.750000e+0
-5.500000e+0,-5.500000e+0
-5.250000e+0,-5.250000e+0
-5.000000e+0,-5.000000e+0
-4.750000e+0,-4.750000e+0
-4.500000e+0,-4.500000e+0
-4.250000e+0,-4.250000e+0
-4.000000e+0,-4.000000e+0
-3.750000e+0,-3.750000e+0
-3.500000e+0,-3.500000e+0
-3.250000e+0,-3.250000e+0
-3.000000e+0,-3.000000e+0
-2.750000e+0,-2.750000e+0
-2.500000e+0,-2.500000e+0
-2.250000e+0,-2.250000e+0
-2.000000e+0,-2.000000e+0
-1.750000e+0,-1.750000e+0
-1.500000e+0,-1.500000e+0
-1.250000e+0,-1.250000e+0
-1.000000e+0,-1.000000e+0
-7.500000e-1,-7.500000e-1
-5.000000e-1,-5.000000e-1
-2.500000e-1,-2.500000e-1
0.000000e+0,-2.714244e-11
2.500000e-1,2.500000e-1
5.000000e-1,5.000000e-1
7.500000e-1,7.500000e-1
1.000000e+0,10.000000e-1
1.250000e+0,1.250000e+0
1.500000e+0,1.500000e+0
1.750000e+0,1.750000e+0
2.000000e+0,2.000000e+0
2.250000e+0,2.250000e+0
2.500000e+0,2.500000e+0
2.750000e+0,2.750000e+0
3.000000e+0,3.000000e+0
3.250000e+0,3.250000e+0
3.500000e+0,3.500000e+0
