
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:09:52,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_fund
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-8.500000e+0,-2.858804e+1
-8.250000e+0,-2.833805e+1
-8.000000e+0,-2.808805e+1
-7.750000e+0,-2.783805e+1
-7.500000e+0,-2.758805e+1
-7.250000e+0,-2.733805e+1
-7.000000e+0,-2.708805e+1
-6.750000e+0,-2.683805e+1
-6.500000e+0,-2.658806e+1
-6.250000e+0,-2.633806e+1
-6.000000e+0,-2.608806e+1
-5.750000e+0,-2.583806e+1
-5.500000e+0,-2.558806e+1
-5.250000e+0,-2.533807e+1
-5.000000e+0,-2.508807e+1
-4.750000e+0,-2.483807e+1
-4.500000e+0,-2.458807e+1
-4.250000e+0,-2.433808e+1
-4.000000e+0,-2.408808e+1
-3.750000e+0,-2.383808e+1
-3.500000e+0,-2.358809e+1
-3.250000e+0,-2.333809e+1
-3.000000e+0,-2.308809e+1
-2.750000e+0,-2.283810e+1
-2.500000e+0,-2.258810e+1
-2.250000e+0,-2.233811e+1
-2.000000e+0,-2.208811e+1
-1.750000e+0,-2.183812e+1
-1.500000e+0,-2.158812e+1
-1.250000e+0,-2.133813e+1
-1.000000e+0,-2.108813e+1
-7.500000e-1,-2.083814e+1
-5.000000e-1,-2.058815e+1
-2.500000e-1,-2.033815e+1
0.000000e+0,-2.008816e+1
2.500000e-1,-1.983817e+1
5.000000e-1,-1.958818e+1
7.500000e-1,-1.933819e+1
1.000000e+0,-1.908820e+1
1.250000e+0,-1.883821e+1
1.500000e+0,-1.858822e+1
1.750000e+0,-1.833823e+1
2.000000e+0,-1.808824e+1
2.250000e+0,-1.783826e+1
2.500000e+0,-1.758827e+1
2.750000e+0,-1.733828e+1
3.000000e+0,-1.708830e+1
3.250000e+0,-1.683832e+1
3.500000e+0,-1.658833e+1
3.750000e+0,-1.633835e+1
4.000000e+0,-1.608837e+1
4.250000e+0,-1.583839e+1
4.500000e+0,-1.558841e+1
4.750000e+0,-1.533844e+1
5.000000e+0,-1.508846e+1
5.250000e+0,-1.483849e+1
5.500000e+0,-1.458852e+1
5.750000e+0,-1.433854e+1
6.000000e+0,-1.408858e+1
6.250000e+0,-1.383861e+1
6.500000e+0,-1.358864e+1
6.750000e+0,-1.333868e+1
7.000000e+0,-1.308872e+1
7.250000e+0,-1.283876e+1
7.500000e+0,-1.258881e+1
7.750000e+0,-1.233885e+1
8.000000e+0,-1.208890e+1
8.250000e+0,-1.183895e+1
8.500000e+0,-1.158901e+1
8.750000e+0,-1.133907e+1
9.000000e+0,-1.108913e+1
9.250000e+0,-1.083920e+1
9.500000e+0,-1.058927e+1
9.750000e+0,-1.033934e+1
1.000000e+1,-1.008942e+1
1.025000e+1,-9.839505e+0
1.050000e+1,-9.589594e+0
1.075000e+1,-9.339689e+0
1.100000e+1,-9.089789e+0
1.125000e+1,-8.839896e+0
1.150000e+1,-8.590009e+0
1.175000e+1,-8.340129e+0
1.200000e+1,-8.090256e+0
1.225000e+1,-7.840392e+0
1.250000e+1,-7.590535e+0
1.275000e+1,-7.340688e+0
1.300000e+1,-7.090850e+0
1.325000e+1,-6.841023e+0
1.350000e+1,-6.591206e+0
1.375000e+1,-6.341401e+0
1.400000e+1,-6.091608e+0
1.425000e+1,-5.841828e+0
1.450000e+1,-5.592062e+0
1.475000e+1,-5.342312e+0
1.500000e+1,-5.092577e+0
1.525000e+1,-4.842859e+0
1.550000e+1,-4.593159e+0
1.575000e+1,-4.343480e+0
1.600000e+1,-4.093821e+0
1.625000e+1,-3.844184e+0
1.650000e+1,-3.594571e+0
1.675000e+1,-3.344984e+0
1.700000e+1,-3.095425e+0
1.725000e+1,-2.845895e+0
1.750000e+1,-2.596398e+0
1.775000e+1,-2.346934e+0
1.800000e+1,-2.097507e+0
1.825000e+1,-1.848119e+0
1.850000e+1,-1.598774e+0
1.875000e+1,-1.349475e+0
1.900000e+1,-1.100226e+0
1.925000e+1,-8.510298e-1
1.950000e+1,-6.018913e-1
1.975000e+1,-3.528153e-1
2.000000e+1,-1.038067e-1
2.025000e+1,1.451288e-1
2.050000e+1,3.939850e-1
2.075000e+1,6.427552e-1
2.100000e+1,8.914313e-1
2.125000e+1,1.140007e+0
2.150000e+1,1.388471e+0
2.175000e+1,1.636816e+0
2.200000e+1,1.885029e+0
2.225000e+1,2.133098e+0
2.250000e+1,2.381011e+0
2.275000e+1,2.628753e+0
2.300000e+1,2.876307e+0
2.325000e+1,3.123654e+0
2.350000e+1,3.370776e+0
2.375000e+1,3.617648e+0
2.400000e+1,3.864247e+0
2.425000e+1,4.110544e+0
2.450000e+1,4.356509e+0
2.475000e+1,4.602104e+0
2.500000e+1,4.847292e+0
2.525000e+1,5.092027e+0
2.550000e+1,5.336260e+0
2.575000e+1,5.579935e+0
2.600000e+1,5.822987e+0
2.625000e+1,6.065345e+0
2.650000e+1,6.306926e+0
2.675000e+1,6.547636e+0
2.700000e+1,6.787367e+0
2.725000e+1,7.025994e+0
2.750000e+1,7.263376e+0
2.775000e+1,7.499343e+0
2.800000e+1,7.733697e+0
2.825000e+1,7.966198e+0
2.850000e+1,8.196560e+0
2.875000e+1,8.424418e+0
2.900000e+1,8.649309e+0
2.925000e+1,8.870617e+0
2.950000e+1,9.087512e+0
2.975000e+1,9.298875e+0
3.000000e+1,9.503282e+0
3.025000e+1,9.699188e+0
3.050000e+1,9.885334e+0
3.075000e+1,1.006111e+1
3.100000e+1,1.022657e+1
3.125000e+1,1.038224e+1
3.150000e+1,1.052886e+1
3.175000e+1,1.066724e+1
3.200000e+1,1.079814e+1
3.225000e+1,1.092227e+1
3.250000e+1,1.104023e+1
3.275000e+1,1.115252e+1
3.300000e+1,1.125956e+1
3.325000e+1,1.136174e+1
3.350000e+1,1.145937e+1
3.375000e+1,1.155268e+1
3.400000e+1,1.164190e+1
3.425000e+1,1.172725e+1
3.450000e+1,1.180894e+1
3.475000e+1,1.188713e+1
3.500000e+1,1.196194e+1
3.525000e+1,1.203351e+1
3.550000e+1,1.210197e+1
3.575000e+1,1.216749e+1
3.600000e+1,1.223022e+1
3.625000e+1,1.229028e+1
3.650000e+1,1.234775e+1
3.675000e+1,1.240272e+1
3.700000e+1,1.245527e+1
3.725000e+1,1.250551e+1
3.750000e+1,1.255358e+1
3.775000e+1,1.259961e+1
3.800000e+1,1.264374e+1
3.825000e+1,1.268607e+1
3.850000e+1,1.272669e+1
3.875000e+1,1.276566e+1
