
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,16-May-2021,Creation_Time,02:14:04,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_fund
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-8.500000e+0,-2.950073e+1
-8.250000e+0,-2.925073e+1
-8.000000e+0,-2.900073e+1
-7.750000e+0,-2.875073e+1
-7.500000e+0,-2.850073e+1
-7.250000e+0,-2.825073e+1
-7.000000e+0,-2.800074e+1
-6.750000e+0,-2.775074e+1
-6.500000e+0,-2.750074e+1
-6.250000e+0,-2.725074e+1
-6.000000e+0,-2.700074e+1
-5.750000e+0,-2.675074e+1
-5.500000e+0,-2.650074e+1
-5.250000e+0,-2.625075e+1
-5.000000e+0,-2.600075e+1
-4.750000e+0,-2.575075e+1
-4.500000e+0,-2.550075e+1
-4.250000e+0,-2.525076e+1
-4.000000e+0,-2.500076e+1
-3.750000e+0,-2.475076e+1
-3.500000e+0,-2.450076e+1
-3.250000e+0,-2.425077e+1
-3.000000e+0,-2.400077e+1
-2.750000e+0,-2.375077e+1
-2.500000e+0,-2.350078e+1
-2.250000e+0,-2.325078e+1
-2.000000e+0,-2.300078e+1
-1.750000e+0,-2.275079e+1
-1.500000e+0,-2.250079e+1
-1.250000e+0,-2.225080e+1
-1.000000e+0,-2.200080e+1
-7.500000e-1,-2.175081e+1
-5.000000e-1,-2.150081e+1
-2.500000e-1,-2.125082e+1
0.000000e+0,-2.100082e+1
2.500000e-1,-2.075083e+1
5.000000e-1,-2.050084e+1
7.500000e-1,-2.025084e+1
1.000000e+0,-2.000085e+1
1.250000e+0,-1.975086e+1
1.500000e+0,-1.950087e+1
1.750000e+0,-1.925088e+1
2.000000e+0,-1.900089e+1
2.250000e+0,-1.875090e+1
2.500000e+0,-1.850091e+1
2.750000e+0,-1.825092e+1
3.000000e+0,-1.800093e+1
3.250000e+0,-1.775094e+1
3.500000e+0,-1.750096e+1
3.750000e+0,-1.725097e+1
4.000000e+0,-1.700099e+1
4.250000e+0,-1.675100e+1
4.500000e+0,-1.650102e+1
4.750000e+0,-1.625104e+1
5.000000e+0,-1.600106e+1
5.250000e+0,-1.575108e+1
5.500000e+0,-1.550110e+1
5.750000e+0,-1.525112e+1
6.000000e+0,-1.500115e+1
6.250000e+0,-1.475117e+1
6.500000e+0,-1.450120e+1
6.750000e+0,-1.425123e+1
7.000000e+0,-1.400126e+1
7.250000e+0,-1.375129e+1
7.500000e+0,-1.350133e+1
7.750000e+0,-1.325136e+1
8.000000e+0,-1.300140e+1
8.250000e+0,-1.275144e+1
8.500000e+0,-1.250149e+1
8.750000e+0,-1.225153e+1
9.000000e+0,-1.200158e+1
9.250000e+0,-1.175164e+1
9.500000e+0,-1.150169e+1
9.750000e+0,-1.125175e+1
1.000000e+1,-1.100181e+1
1.025000e+1,-1.075188e+1
1.050000e+1,-1.050195e+1
1.075000e+1,-1.025202e+1
1.100000e+1,-1.000210e+1
1.125000e+1,-9.752183e+0
1.150000e+1,-9.502272e+0
1.175000e+1,-9.252365e+0
1.200000e+1,-9.002465e+0
1.225000e+1,-8.752571e+0
1.250000e+1,-8.502683e+0
1.275000e+1,-8.252802e+0
1.300000e+1,-8.002929e+0
1.325000e+1,-7.753063e+0
1.350000e+1,-7.503206e+0
1.375000e+1,-7.253358e+0
1.400000e+1,-7.003519e+0
1.425000e+1,-6.753690e+0
1.450000e+1,-6.503873e+0
1.475000e+1,-6.254066e+0
1.500000e+1,-6.004272e+0
1.525000e+1,-5.754491e+0
1.550000e+1,-5.504724e+0
1.575000e+1,-5.254972e+0
1.600000e+1,-5.005235e+0
1.625000e+1,-4.755516e+0
1.650000e+1,-4.505815e+0
1.675000e+1,-4.256134e+0
1.700000e+1,-4.006473e+0
1.725000e+1,-3.756835e+0
1.750000e+1,-3.507220e+0
1.775000e+1,-3.257632e+0
1.800000e+1,-3.008071e+0
1.825000e+1,-2.758540e+0
1.850000e+1,-2.509040e+0
1.875000e+1,-2.259574e+0
1.900000e+1,-2.010146e+0
1.925000e+1,-1.760757e+0
1.950000e+1,-1.511410e+0
1.975000e+1,-1.262110e+0
2.000000e+1,-1.012859e+0
2.025000e+1,-7.636620e-1
2.050000e+1,-5.145227e-1
2.075000e+1,-2.654460e-1
2.100000e+1,-1.643715e-2
2.125000e+1,2.324982e-1
2.150000e+1,4.813539e-1
2.175000e+1,7.301230e-1
2.200000e+1,9.787972e-1
2.225000e+1,1.227370e+0
2.250000e+1,1.475831e+0
2.275000e+1,1.724171e+0
2.300000e+1,1.972379e+0
2.325000e+1,2.220441e+0
2.350000e+1,2.468346e+0
2.375000e+1,2.716077e+0
2.400000e+1,2.963618e+0
2.425000e+1,3.210950e+0
2.450000e+1,3.458054e+0
2.475000e+1,3.704905e+0
2.500000e+1,3.951478e+0
2.525000e+1,4.197745e+0
2.550000e+1,4.443674e+0
2.575000e+1,4.689228e+0
2.600000e+1,4.934367e+0
2.625000e+1,5.179045e+0
2.650000e+1,5.423212e+0
2.675000e+1,5.666808e+0
2.700000e+1,5.909769e+0
2.725000e+1,6.152020e+0
2.750000e+1,6.393475e+0
2.775000e+1,6.634036e+0
2.800000e+1,6.873591e+0
2.825000e+1,7.112009e+0
2.850000e+1,7.349140e+0
2.875000e+1,7.584805e+0
2.900000e+1,7.818792e+0
2.925000e+1,8.050842e+0
2.950000e+1,8.280640e+0
2.975000e+1,8.507779e+0
3.000000e+1,8.731734e+0
3.025000e+1,8.951794e+0
