
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip3_ref
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-1.340000e+2,-4.038393e+1
-1.330000e+2,-3.606904e+1
-1.320000e+2,-3.665311e+1
-1.310000e+2,-3.590877e+1
-1.300000e+2,-3.200200e+1
-1.290000e+2,-3.159807e+1
-1.280000e+2,-3.223011e+1
-1.270000e+2,-3.148581e+1
-1.260000e+2,-3.103167e+1
-1.250000e+2,-2.993010e+1
-1.240000e+2,-2.986811e+1
-1.230000e+2,-3.000350e+1
-1.220000e+2,-2.915166e+1
-1.210000e+2,-2.907881e+1
-1.200000e+2,-2.833500e+1
-1.190000e+2,-2.799300e+1
-1.180000e+2,-2.733374e+1
-1.170000e+2,-2.700288e+1
-1.160000e+2,-2.653248e+1
-1.150000e+2,-2.595524e+1
-1.140000e+2,-2.555479e+1
-1.130000e+2,-2.501664e+1
-1.120000e+2,-2.448353e+1
-1.110000e+2,-2.400811e+1
-1.100000e+2,-2.351227e+1
-1.090000e+2,-2.302363e+1
-1.080000e+2,-2.251429e+1
-1.070000e+2,-2.201942e+1
-1.060000e+2,-2.151407e+1
-1.050000e+2,-2.101753e+1
-1.040000e+2,-2.051335e+1
-1.030000e+2,-2.000725e+1
-1.020000e+2,-1.950045e+1
-1.010000e+2,-1.899992e+1
-1.000000e+2,-1.848822e+1
-9.900000e+1,-1.797725e+1
-9.800000e+1,-1.746660e+1
-9.700000e+1,-1.695483e+1
-9.600000e+1,-1.644074e+1
-9.500000e+1,-1.592485e+1
-9.400000e+1,-1.540626e+1
-9.300000e+1,-1.488666e+1
-9.200000e+1,-1.436372e+1
-9.100000e+1,-1.383817e+1
-9.000000e+1,-1.330898e+1
-8.900000e+1,-1.277669e+1
-8.800000e+1,-1.223986e+1
-8.700000e+1,-1.169889e+1
-8.600000e+1,-1.115245e+1
-8.500000e+1,-1.060018e+1
-8.400000e+1,-1.004145e+1
-8.300000e+1,-9.475397e+0
-8.200000e+1,-8.901121e+0
-8.100000e+1,-8.317652e+0
-8.000000e+1,-7.723978e+0
-7.900000e+1,-7.119133e+0
-7.800000e+1,-6.502141e+0
-7.700000e+1,-5.872294e+0
-7.600000e+1,-5.229315e+0
-7.500000e+1,-4.573916e+0
-7.400000e+1,-3.908449e+0
-7.300000e+1,-3.238127e+0
-7.200000e+1,-2.572838e+0
-7.100000e+1,-1.929340e+0
-7.000000e+1,-1.333196e+0
-6.900000e+1,-8.180970e-1
-6.800000e+1,-4.195526e-1
-6.700000e+1,-7.940719e-2
-6.600000e+1,4.993512e-2
-6.500000e+1,5.386003e-2
-6.400000e+1,-3.220455e-2
-6.300000e+1,-1.723553e-1
-6.200000e+1,-3.384504e-1
-6.100000e+1,-5.116825e-1
-6.000000e+1,-6.808312e-1
-5.900000e+1,-8.398553e-1
-5.800000e+1,-9.859252e-1
-5.700000e+1,-1.118079e+0
-5.600000e+1,-1.236379e+0
-5.500000e+1,-1.341401e+0
-5.400000e+1,-1.435572e+0
-5.300000e+1,-1.516673e+0
-5.200000e+1,-1.586908e+0
-5.100000e+1,-1.646919e+0
-5.000000e+1,-1.697179e+0
-4.900000e+1,-1.737961e+0
-4.800000e+1,-1.769210e+0
-4.700000e+1,-7.890158e+0
-4.600000e+1,-1.552103e+1
-4.500000e+1,-1.816431e+1
-4.400000e+1,-1.914409e+1
-4.300000e+1,-1.932095e+1
-4.200000e+1,-1.904249e+1
-4.100000e+1,-1.846621e+1
-4.000000e+1,-1.768374e+1
-3.900000e+1,-1.677094e+1
-3.800000e+1,-1.574555e+1
-3.700000e+1,-1.465360e+1
-3.600000e+1,-1.350512e+1
-3.500000e+1,-1.230083e+1
-3.400000e+1,-1.105287e+1
-3.300000e+1,-9.738445e+0
-3.200000e+1,-8.313006e+0
-3.100000e+1,-6.684017e+0
