.HEADER
..NAMES
,wf6
..UNITS
,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
.DATA
-1.170000e+2,10.000000e-1
-1.160000e+2,10.000000e-1
-1.150000e+2,10.000000e-1
-1.140000e+2,10.000000e-1
-1.130000e+2,10.000000e-1
-1.120000e+2,10.000000e-1
-1.110000e+2,10.000000e-1
-1.100000e+2,10.000000e-1
-1.090000e+2,10.000000e-1
-1.080000e+2,10.000000e-1
-1.070000e+2,10.000000e-1
-1.060000e+2,10.000000e-1
-1.050000e+2,10.000000e-1
-1.040000e+2,10.000000e-1
-1.030000e+2,10.000000e-1
-1.020000e+2,10.000000e-1
-1.010000e+2,10.000000e-1
-1.000000e+2,10.000000e-1
-9.900000e+1,10.000000e-1
-9.800000e+1,10.000000e-1
-9.700000e+1,10.000000e-1
-9.600000e+1,10.000000e-1
-9.500000e+1,10.000000e-1
-9.400000e+1,10.000000e-1
-9.300000e+1,9.999999e-1
-9.200000e+1,9.999999e-1
-9.100000e+1,9.999999e-1
-9.000000e+1,9.999999e-1
-8.900000e+1,9.999999e-1
-8.800000e+1,9.999999e-1
-8.700000e+1,9.999999e-1
-8.600000e+1,9.999999e-1
-8.500000e+1,9.999999e-1
-8.400000e+1,9.999999e-1
-8.300000e+1,9.999999e-1
-8.200000e+1,9.999999e-1
-8.100000e+1,9.999999e-1
-8.000000e+1,9.999999e-1
-7.900000e+1,9.999999e-1
-7.800000e+1,9.999999e-1
-7.700000e+1,9.999999e-1
-7.600000e+1,9.999999e-1
-7.500000e+1,10.000000e-1
-7.400000e+1,1.000000e+0
-7.300000e+1,1.000000e+0
-7.200000e+1,1.000000e+0
-7.100000e+1,1.000000e+0
-7.000000e+1,1.000001e+0
-6.900000e+1,1.000001e+0
-6.800000e+1,1.000001e+0
-6.700000e+1,1.000001e+0
-6.600000e+1,1.000002e+0
-6.500000e+1,1.000003e+0
-6.400000e+1,1.000004e+0
-6.300000e+1,1.000005e+0
-6.200000e+1,1.000006e+0
-6.100000e+1,1.000008e+0
-6.000000e+1,1.000010e+0
-5.900000e+1,1.000014e+0
-5.800000e+1,1.000017e+0
-5.700000e+1,1.000022e+0
-5.600000e+1,1.000029e+0
-5.500000e+1,1.000037e+0
-5.400000e+1,1.000047e+0
-5.300000e+1,1.000059e+0
-5.200000e+1,1.000075e+0
