
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,im3
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-1.340000e+2,-3.019639e+2
-1.330000e+2,-3.075937e+2
-1.320000e+2,-3.034256e+2
-1.310000e+2,-3.019142e+2
-1.300000e+2,-3.067278e+2
-1.290000e+2,-3.045356e+2
-1.280000e+2,-3.002716e+2
-1.270000e+2,-2.987601e+2
-1.260000e+2,-2.966684e+2
-1.250000e+2,-2.958716e+2
-1.240000e+2,-2.929956e+2
-1.230000e+2,-2.897248e+2
-1.220000e+2,-2.884284e+2
-1.210000e+2,-2.855741e+2
-1.200000e+2,-2.840618e+2
-1.190000e+2,-2.817458e+2
-1.180000e+2,-2.800643e+2
-1.170000e+2,-2.777260e+2
-1.160000e+2,-2.756668e+2
-1.150000e+2,-2.738213e+2
-1.140000e+2,-2.716222e+2
-1.130000e+2,-2.696985e+2
-1.120000e+2,-2.677647e+2
-1.110000e+2,-2.657155e+2
-1.100000e+2,-2.637072e+2
-1.090000e+2,-2.616845e+2
-1.080000e+2,-2.597032e+2
-1.070000e+2,-2.576929e+2
-1.060000e+2,-2.557036e+2
-1.050000e+2,-2.536967e+2
-1.040000e+2,-2.517051e+2
-1.030000e+2,-2.497173e+2
-1.020000e+2,-2.477309e+2
-1.010000e+2,-2.457319e+2
-1.000000e+2,-2.437553e+2
-9.900000e+1,-2.417773e+2
-9.800000e+1,-2.397986e+2
-9.700000e+1,-2.378221e+2
-9.600000e+1,-2.358503e+2
-9.500000e+1,-2.338821e+2
-9.400000e+1,-2.319193e+2
-9.300000e+1,-2.299585e+2
-9.200000e+1,-2.280043e+2
-9.100000e+1,-2.260554e+2
-9.000000e+1,-2.241138e+2
-8.900000e+1,-2.221784e+2
-8.800000e+1,-2.202521e+2
-8.700000e+1,-2.183340e+2
-8.600000e+1,-2.164269e+2
-8.500000e+1,-2.145314e+2
-8.400000e+1,-2.126489e+2
-8.300000e+1,-2.107810e+2
-8.200000e+1,-2.089295e+2
-8.100000e+1,-2.070965e+2
-8.000000e+1,-2.052838e+2
-7.900000e+1,-2.034935e+2
-7.800000e+1,-2.017275e+2
-7.700000e+1,-1.999872e+2
-7.600000e+1,-1.982731e+2
-7.500000e+1,-1.965839e+2
-7.400000e+1,-1.949149e+2
-7.300000e+1,-1.932555e+2
-7.200000e+1,-1.915861e+2
-7.100000e+1,-1.898731e+2
-7.000000e+1,-1.880654e+2
-6.900000e+1,-1.860956e+2
-6.800000e+1,-1.838927e+2
-6.700000e+1,-1.815730e+2
-6.600000e+1,-1.788317e+2
-6.500000e+1,-1.758395e+2
-6.400000e+1,-1.726674e+2
-6.300000e+1,-1.693871e+2
-6.200000e+1,-1.660549e+2
-6.100000e+1,-1.627084e+2
-6.000000e+1,-1.593701e+2
-5.900000e+1,-1.560521e+2
-5.800000e+1,-1.527599e+2
-5.700000e+1,-1.494956e+2
-5.600000e+1,-1.462590e+2
-5.500000e+1,-1.430490e+2
-5.400000e+1,-1.398606e+2
-5.300000e+1,-1.366984e+2
-5.200000e+1,-1.335579e+2
-5.100000e+1,-1.304379e+2
-5.000000e+1,-1.273374e+2
-4.900000e+1,-1.242558e+2
-4.800000e+1,-1.211932e+2
-4.700000e+1,-1.059502e+2
-4.600000e+1,-8.767819e+1
-4.500000e+1,-7.937217e+1
-4.400000e+1,-7.438702e+1
-4.300000e+1,-7.100432e+1
-4.200000e+1,-6.853067e+1
-4.100000e+1,-6.665240e+1
-4.000000e+1,-6.518724e+1
-3.900000e+1,-6.398400e+1
-3.800000e+1,-6.300756e+1
-3.700000e+1,-6.216618e+1
-3.600000e+1,-6.143972e+1
-3.500000e+1,-6.082723e+1
-3.400000e+1,-6.030430e+1
-3.300000e+1,-5.991691e+1
-3.200000e+1,-5.975493e+1
-3.100000e+1,-6.000420e+1
-3.000000e+1,-6.108955e+1
-2.900000e+1,-6.367566e+1
-2.800000e+1,-6.286822e+1
-2.700000e+1,-5.425972e+1
-2.600000e+1,-4.697242e+1
-2.500000e+1,-4.094594e+1
-2.400000e+1,-3.572106e+1
-2.300000e+1,-3.110092e+1
-2.200000e+1,-2.698038e+1
-2.100000e+1,-2.338386e+1
-2.000000e+1,-2.040319e+1
-1.900000e+1,-1.803486e+1
-1.800000e+1,-1.619169e+1
-1.700000e+1,-1.477082e+1
-1.600000e+1,-1.367808e+1
-1.500000e+1,-1.283727e+1
-1.400000e+1,-1.218819e+1
-1.300000e+1,-1.168405e+1
-1.200000e+1,-1.128971e+1
-1.100000e+1,-1.098229e+1
-1.000000e+1,-1.073878e+1
-9.000000e+0,-1.053992e+1
-8.000000e+0,-1.038033e+1
-7.000000e+0,-1.027006e+1
-6.000000e+0,-1.021440e+1
-5.000000e+0,-1.018849e+1

