
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Mar-2021,Creation_Time,14:59:56,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip3_ref
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
4.550000e+1,-2.708839e+1
4.600000e+1,-2.705617e+1
4.650000e+1,-2.669083e+1
4.700000e+1,-2.647398e+1
4.750000e+1,-2.608739e+1
4.800000e+1,-2.600277e+1
4.850000e+1,-2.565991e+1
4.900000e+1,-2.536462e+1
4.950000e+1,-2.513502e+1
5.000000e+1,-2.489405e+1
5.050000e+1,-2.466715e+1
5.100000e+1,-2.436065e+1
5.150000e+1,-2.408911e+1
5.200000e+1,-2.388926e+1
5.250000e+1,-2.360080e+1
5.300000e+1,-2.337647e+1
5.350000e+1,-2.307561e+1
5.400000e+1,-2.285479e+1
5.450000e+1,-2.258955e+1
5.500000e+1,-2.231802e+1
5.550000e+1,-2.205605e+1
5.600000e+1,-2.179944e+1
5.650000e+1,-2.155088e+1
5.700000e+1,-2.129098e+1
5.750000e+1,-2.103828e+1
5.800000e+1,-2.077653e+1
5.850000e+1,-2.052076e+1
5.900000e+1,-2.027071e+1
5.950000e+1,-1.999832e+1
6.000000e+1,-1.975160e+1
6.050000e+1,-1.948382e+1
6.100000e+1,-1.922711e+1
6.150000e+1,-1.897109e+1
6.200000e+1,-1.870568e+1
6.250000e+1,-1.844914e+1
6.300000e+1,-1.818736e+1
6.350000e+1,-1.792800e+1
6.400000e+1,-1.766327e+1
6.450000e+1,-1.740099e+1
6.500000e+1,-1.713683e+1
6.550000e+1,-1.687236e+1
6.600000e+1,-1.660671e+1
6.650000e+1,-1.634132e+1
6.700000e+1,-1.607453e+1
6.750000e+1,-1.580447e+1
6.800000e+1,-1.553566e+1
6.850000e+1,-1.526540e+1
6.900000e+1,-1.499413e+1
6.950000e+1,-1.472200e+1
7.000000e+1,-1.444778e+1
7.050000e+1,-1.417287e+1
7.100000e+1,-1.389637e+1
7.150000e+1,-1.361830e+1
7.200000e+1,-1.333909e+1
7.250000e+1,-1.305755e+1
7.300000e+1,-1.277491e+1
7.350000e+1,-1.249091e+1
7.400000e+1,-1.220508e+1
7.450000e+1,-1.191757e+1
7.500000e+1,-1.162830e+1
7.550000e+1,-1.133734e+1
7.600000e+1,-1.104464e+1
7.650000e+1,-1.075057e+1
7.700000e+1,-1.045483e+1
