
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-1.340000e+2,-1.341213e+2
-1.330000e+2,-1.331213e+2
-1.320000e+2,-1.321213e+2
-1.310000e+2,-1.311213e+2
-1.300000e+2,-1.301213e+2
-1.290000e+2,-1.291213e+2
-1.280000e+2,-1.281213e+2
-1.270000e+2,-1.271213e+2
-1.260000e+2,-1.261213e+2
-1.250000e+2,-1.251213e+2
-1.240000e+2,-1.241213e+2
-1.230000e+2,-1.231213e+2
-1.220000e+2,-1.221213e+2
-1.210000e+2,-1.211213e+2
-1.200000e+2,-1.201213e+2
-1.190000e+2,-1.191213e+2
-1.180000e+2,-1.181213e+2
-1.170000e+2,-1.171213e+2
-1.160000e+2,-1.161213e+2
-1.150000e+2,-1.151213e+2
-1.140000e+2,-1.141213e+2
-1.130000e+2,-1.131213e+2
-1.120000e+2,-1.121213e+2
-1.110000e+2,-1.111213e+2
-1.100000e+2,-1.101213e+2
-1.090000e+2,-1.091213e+2
-1.080000e+2,-1.081213e+2
-1.070000e+2,-1.071213e+2
-1.060000e+2,-1.061213e+2
-1.050000e+2,-1.051213e+2
-1.040000e+2,-1.041213e+2
-1.030000e+2,-1.031213e+2
-1.020000e+2,-1.021213e+2
-1.010000e+2,-1.011213e+2
-1.000000e+2,-1.001213e+2
-9.900000e+1,-9.912132e+1
-9.800000e+1,-9.812132e+1
-9.700000e+1,-9.712132e+1
-9.600000e+1,-9.612132e+1
-9.500000e+1,-9.512132e+1
-9.400000e+1,-9.412132e+1
-9.300000e+1,-9.312132e+1
-9.200000e+1,-9.212132e+1
-9.100000e+1,-9.112132e+1
-9.000000e+1,-9.012132e+1
-8.900000e+1,-8.912132e+1
-8.800000e+1,-8.812132e+1
-8.700000e+1,-8.712132e+1
-8.600000e+1,-8.612132e+1
-8.500000e+1,-8.512132e+1
-8.400000e+1,-8.412132e+1
-8.300000e+1,-8.312132e+1
-8.200000e+1,-8.212132e+1
-8.100000e+1,-8.112132e+1
-8.000000e+1,-8.012132e+1
-7.900000e+1,-7.912132e+1
-7.800000e+1,-7.812132e+1
-7.700000e+1,-7.712132e+1
-7.600000e+1,-7.612132e+1
-7.500000e+1,-7.512132e+1
-7.400000e+1,-7.412132e+1
-7.300000e+1,-7.312132e+1
-7.200000e+1,-7.212132e+1
-7.100000e+1,-7.112132e+1
-7.000000e+1,-7.012132e+1
-6.900000e+1,-6.912132e+1
-6.800000e+1,-6.812132e+1
-6.700000e+1,-6.712132e+1
-6.600000e+1,-6.612133e+1
-6.500000e+1,-6.512133e+1
-6.400000e+1,-6.412133e+1
-6.300000e+1,-6.312133e+1
-6.200000e+1,-6.212133e+1
-6.100000e+1,-6.112133e+1
-6.000000e+1,-6.012134e+1
-5.900000e+1,-5.912134e+1
-5.800000e+1,-5.812135e+1
-5.700000e+1,-5.712135e+1
-5.600000e+1,-5.612136e+1
-5.500000e+1,-5.512137e+1
-5.400000e+1,-5.412138e+1
-5.300000e+1,-5.312139e+1
-5.200000e+1,-5.212141e+1
-5.100000e+1,-5.112144e+1
-5.000000e+1,-5.012146e+1
-4.900000e+1,-4.912150e+1
-4.800000e+1,-4.812155e+1
-4.700000e+1,-4.712149e+1
-4.600000e+1,-4.612048e+1
-4.500000e+1,-4.511855e+1
-4.400000e+1,-4.411603e+1
-4.300000e+1,-4.311325e+1
-4.200000e+1,-4.211040e+1
-4.100000e+1,-4.110764e+1
-4.000000e+1,-4.010508e+1
-3.900000e+1,-3.910278e+1
-3.800000e+1,-3.810080e+1
-3.700000e+1,-3.709918e+1
-3.600000e+1,-3.609791e+1
-3.500000e+1,-3.509705e+1
-3.400000e+1,-3.409661e+1
-3.300000e+1,-3.309661e+1
-3.200000e+1,-3.209710e+1
-3.100000e+1,-3.109810e+1
-3.000000e+1,-3.009963e+1
-2.900000e+1,-2.910173e+1
-2.800000e+1,-2.810447e+1
-2.700000e+1,-2.710797e+1
-2.600000e+1,-2.611258e+1
-2.500000e+1,-2.511919e+1
-2.400000e+1,-2.412967e+1
-2.300000e+1,-2.314711e+1
-2.200000e+1,-2.217555e+1
-2.100000e+1,-2.122059e+1
-2.000000e+1,-2.028923e+1
-1.900000e+1,-1.938667e+1
-1.800000e+1,-1.851432e+1
-1.700000e+1,-1.767095e+1
-1.600000e+1,-1.685310e+1
-1.500000e+1,-1.605652e+1
-1.400000e+1,-1.527632e+1
