
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,21-Mar-2021,Creation_Time,09:35:45,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,gain1
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-1.340000e+2,-1.144891e+2
-1.330000e+2,-1.134891e+2
-1.320000e+2,-1.124891e+2
-1.310000e+2,-1.114891e+2
-1.300000e+2,-1.104891e+2
-1.290000e+2,-1.094891e+2
-1.280000e+2,-1.084891e+2
-1.270000e+2,-1.074891e+2
-1.260000e+2,-1.064891e+2
-1.250000e+2,-1.054891e+2
-1.240000e+2,-1.044891e+2
-1.230000e+2,-1.034891e+2
-1.220000e+2,-1.024891e+2
-1.210000e+2,-1.014891e+2
-1.200000e+2,-1.004891e+2
-1.190000e+2,-9.948913e+1
-1.180000e+2,-9.848913e+1
-1.170000e+2,-9.748913e+1
-1.160000e+2,-9.648913e+1
-1.150000e+2,-9.548913e+1
-1.140000e+2,-9.448913e+1
-1.130000e+2,-9.348913e+1
-1.120000e+2,-9.248913e+1
-1.110000e+2,-9.148913e+1
-1.100000e+2,-9.048913e+1
-1.090000e+2,-8.948913e+1
-1.080000e+2,-8.848913e+1
-1.070000e+2,-8.748913e+1
-1.060000e+2,-8.648913e+1
-1.050000e+2,-8.548913e+1
-1.040000e+2,-8.448913e+1
-1.030000e+2,-8.348913e+1
-1.020000e+2,-8.248913e+1
-1.010000e+2,-8.148913e+1
-1.000000e+2,-8.048913e+1
-9.900000e+1,-7.948913e+1
-9.800000e+1,-7.848913e+1
-9.700000e+1,-7.748913e+1
-9.600000e+1,-7.648913e+1
-9.500000e+1,-7.548913e+1
-9.400000e+1,-7.448913e+1
-9.300000e+1,-7.348913e+1
-9.200000e+1,-7.248913e+1
-9.100000e+1,-7.148913e+1
-9.000000e+1,-7.048913e+1
-8.900000e+1,-6.948913e+1
-8.800000e+1,-6.848913e+1
-8.700000e+1,-6.748913e+1
-8.600000e+1,-6.648913e+1
-8.500000e+1,-6.548913e+1
-8.400000e+1,-6.448913e+1
-8.300000e+1,-6.348913e+1
-8.200000e+1,-6.248913e+1
-8.100000e+1,-6.148913e+1
-8.000000e+1,-6.048913e+1
-7.900000e+1,-5.948913e+1
-7.800000e+1,-5.848913e+1
-7.700000e+1,-5.748913e+1
-7.600000e+1,-5.648913e+1
-7.500000e+1,-5.548913e+1
-7.400000e+1,-5.448913e+1
-7.300000e+1,-5.348913e+1
-7.200000e+1,-5.248913e+1
-7.100000e+1,-5.148913e+1
-7.000000e+1,-5.048913e+1
-6.900000e+1,-4.948913e+1
-6.800000e+1,-4.848913e+1
-6.700000e+1,-4.748913e+1
-6.600000e+1,-4.648913e+1
-6.500000e+1,-4.548913e+1
-6.400000e+1,-4.448913e+1
-6.300000e+1,-4.348912e+1
-6.200000e+1,-4.248912e+1
-6.100000e+1,-4.148912e+1
-6.000000e+1,-4.048911e+1
-5.900000e+1,-3.948910e+1
-5.800000e+1,-3.848909e+1
-5.700000e+1,-3.748908e+1
-5.600000e+1,-3.648906e+1
-5.500000e+1,-3.548904e+1
-5.400000e+1,-3.448901e+1
-5.300000e+1,-3.348897e+1
-5.200000e+1,-3.248892e+1
-5.100000e+1,-3.148886e+1
-5.000000e+1,-3.048878e+1
-4.900000e+1,-2.948869e+1
-4.800000e+1,-2.848856e+1
-4.700000e+1,-2.748757e+1
-4.600000e+1,-2.647929e+1
-4.500000e+1,-2.546370e+1
-4.400000e+1,-2.444315e+1
-4.300000e+1,-2.341973e+1
-4.200000e+1,-2.239485e+1
-4.100000e+1,-2.136955e+1
-4.000000e+1,-2.034457e+1
-3.900000e+1,-1.932031e+1
-3.800000e+1,-1.829705e+1
-3.700000e+1,-1.727504e+1
-3.600000e+1,-1.625416e+1
-3.500000e+1,-1.523479e+1
-3.400000e+1,-1.421682e+1
-3.300000e+1,-1.320057e+1
-3.200000e+1,-1.218673e+1
-3.100000e+1,-1.117604e+1
-3.000000e+1,-1.017002e+1
-2.900000e+1,-9.171294e+0
-2.800000e+1,-8.183978e+0
-2.700000e+1,-7.214523e+0
-2.600000e+1,-6.272226e+0
-2.500000e+1,-5.369655e+0
-2.400000e+1,-4.522208e+0
-2.300000e+1,-3.747562e+0
-2.200000e+1,-3.066458e+0
-2.100000e+1,-2.493078e+0
-2.000000e+1,-2.021232e+0
-1.900000e+1,-1.634298e+0
-1.800000e+1,-1.315136e+0
-1.700000e+1,-1.048926e+0
-1.600000e+1,-8.238584e-1
-1.500000e+1,-6.306285e-1
-1.400000e+1,-4.622957e-1
-1.300000e+1,-3.134811e-1
-1.200000e+1,-1.796192e-1
-1.100000e+1,-5.814187e-2
-1.000000e+1,5.384876e-2
-9.000000e+0,1.595702e-1
-8.000000e+0,2.624013e-1
-7.000000e+0,3.650747e-1
-6.000000e+0,4.690657e-1
-5.000000e+0,5.786970e-1

