
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,19-Mar-2021,Creation_Time,08:01:29,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,im3
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
4.550000e+1,-2.687152e+2
4.600000e+1,-2.675295e+2
4.650000e+1,-2.666867e+2
4.700000e+1,-2.654493e+2
4.750000e+1,-2.644193e+2
4.800000e+1,-2.635950e+2
4.850000e+1,-2.627281e+2
4.900000e+1,-2.614352e+2
4.950000e+1,-2.606092e+2
5.000000e+1,-2.595639e+2
5.050000e+1,-2.585810e+2
5.100000e+1,-2.575943e+2
5.150000e+1,-2.566446e+2
5.200000e+1,-2.556736e+2
5.250000e+1,-2.546797e+2
5.300000e+1,-2.537096e+2
5.350000e+1,-2.526909e+2
5.400000e+1,-2.516476e+2
5.450000e+1,-2.507059e+2
5.500000e+1,-2.497751e+2
5.550000e+1,-2.487526e+2
5.600000e+1,-2.477800e+2
5.650000e+1,-2.467709e+2
5.700000e+1,-2.457799e+2
5.750000e+1,-2.447912e+2
5.800000e+1,-2.438166e+2
5.850000e+1,-2.428337e+2
5.900000e+1,-2.418378e+2
5.950000e+1,-2.408523e+2
6.000000e+1,-2.398776e+2
6.050000e+1,-2.388968e+2
6.100000e+1,-2.379122e+2
6.150000e+1,-2.369253e+2
6.200000e+1,-2.359592e+2
6.250000e+1,-2.349749e+2
6.300000e+1,-2.340003e+2
6.350000e+1,-2.330162e+2
6.400000e+1,-2.320446e+2
6.450000e+1,-2.310651e+2
6.500000e+1,-2.300942e+2
6.550000e+1,-2.291278e+2
6.600000e+1,-2.281528e+2
6.650000e+1,-2.271865e+2
6.700000e+1,-2.262196e+2
6.750000e+1,-2.252552e+2
6.800000e+1,-2.242906e+2
6.850000e+1,-2.233305e+2
6.900000e+1,-2.223705e+2
6.950000e+1,-2.214123e+2
7.000000e+1,-2.204579e+2
7.050000e+1,-2.195034e+2
7.100000e+1,-2.185512e+2
7.150000e+1,-2.176028e+2
7.200000e+1,-2.166547e+2
7.250000e+1,-2.157092e+2
7.300000e+1,-2.147669e+2
7.350000e+1,-2.138244e+2
7.400000e+1,-2.128847e+2
7.450000e+1,-2.119462e+2
7.500000e+1,-2.110085e+2
7.550000e+1,-2.100714e+2
7.600000e+1,-2.091350e+2
7.650000e+1,-2.081986e+2
7.700000e+1,-2.072606e+2
7.750000e+1,-2.063210e+2
7.800000e+1,-2.053781e+2
7.850000e+1,-2.044310e+2
7.900000e+1,-2.034782e+2
7.950000e+1,-2.025176e+2
8.000000e+1,-2.015474e+2
8.050000e+1,-2.005650e+2
8.100000e+1,-1.995682e+2
8.150000e+1,-1.985538e+2
8.200000e+1,-1.975193e+2
8.250000e+1,-1.964613e+2
8.300000e+1,-1.953768e+2
8.350000e+1,-1.942631e+2
8.400000e+1,-1.931175e+2
8.450000e+1,-1.919379e+2
8.500000e+1,-1.907230e+2
8.550000e+1,-1.894718e+2
8.600000e+1,-1.881846e+2
8.650000e+1,-1.868620e+2
8.700000e+1,-1.855056e+2
8.750000e+1,-1.841175e+2
8.800000e+1,-1.827002e+2
8.850000e+1,-1.812567e+2
8.900000e+1,-1.797900e+2
8.950000e+1,-1.783031e+2
9.000000e+1,-1.767991e+2
9.050000e+1,-1.752806e+2
9.100000e+1,-1.737503e+2
9.150000e+1,-1.722104e+2
9.200000e+1,-1.706631e+2
9.250000e+1,-1.691100e+2
9.300000e+1,-1.675527e+2
9.350000e+1,-1.659924e+2
9.400000e+1,-1.644302e+2
9.450000e+1,-1.628671e+2
9.500000e+1,-1.613037e+2
9.550000e+1,-1.597406e+2
9.600000e+1,-1.581784e+2
9.650000e+1,-1.566173e+2
9.700000e+1,-1.550576e+2
9.750000e+1,-1.534986e+2
9.800000e+1,-1.519421e+2
9.850000e+1,-1.503876e+2
9.900000e+1,-1.488351e+2
9.950000e+1,-1.472848e+2
1.000000e+2,-1.457366e+2
1.005000e+2,-1.441906e+2
1.010000e+2,-1.426466e+2
1.015000e+2,-1.411048e+2
1.020000e+2,-1.395649e+2
1.025000e+2,-1.380271e+2
1.030000e+2,-1.364912e+2
1.035000e+2,-1.349572e+2
1.040000e+2,-1.334251e+2
1.045000e+2,-1.318947e+2
1.050000e+2,-1.303661e+2
1.055000e+2,-1.288392e+2
1.060000e+2,-1.273139e+2
1.065000e+2,-1.257902e+2
1.070000e+2,-1.242681e+2
1.075000e+2,-1.227475e+2
1.080000e+2,-1.212283e+2
1.085000e+2,-1.197107e+2
1.090000e+2,-1.181945e+2
1.095000e+2,-1.166797e+2
1.100000e+2,-1.151663e+2
1.105000e+2,-1.136544e+2
1.110000e+2,-1.121439e+2
1.115000e+2,-1.106348e+2
1.120000e+2,-1.091272e+2
1.125000e+2,-1.076212e+2
1.130000e+2,-1.061167e+2
1.135000e+2,-1.052945e+2
1.140000e+2,-1.039042e+2
1.145000e+2,-9.776854e+1
1.150000e+2,-9.206530e+1
1.155000e+2,-8.735772e+1
1.160000e+2,-8.413720e+1
1.165000e+2,-8.166030e+1
1.170000e+2,-7.966808e+1
1.175000e+2,-7.824609e+1
1.180000e+2,-7.720592e+1
1.185000e+2,-7.631884e+1
1.190000e+2,-7.543693e+1
1.195000e+2,-7.436750e+1
1.200000e+2,-7.332252e+1
1.205000e+2,-7.248076e+1
1.210000e+2,-7.169154e+1
1.215000e+2,-7.090732e+1
1.220000e+2,-7.022012e+1
1.225000e+2,-6.956824e+1
1.230000e+2,-6.887643e+1
1.235000e+2,-6.812684e+1
1.240000e+2,-6.731163e+1
1.245000e+2,-6.643597e+1
1.250000e+2,-6.551376e+1
1.255000e+2,-6.462996e+1
1.260000e+2,-6.373921e+1
1.265000e+2,-6.283887e+1
1.270000e+2,-6.192863e+1
1.275000e+2,-6.093745e+1
1.280000e+2,-5.993038e+1
1.285000e+2,-5.896001e+1
1.290000e+2,-5.804741e+1
1.295000e+2,-5.722143e+1
1.300000e+2,-5.650195e+1
1.305000e+2,-5.592902e+1
1.310000e+2,-5.551383e+1
1.315000e+2,-5.520925e+1
1.320000e+2,-5.493871e+1
1.325000e+2,-5.448179e+1
1.330000e+2,-5.343075e+1
1.335000e+2,-5.145462e+1
1.340000e+2,-4.870973e+1
1.345000e+2,-4.565294e+1
1.350000e+2,-4.260434e+1
1.355000e+2,-3.970762e+1
1.360000e+2,-3.700389e+1
1.365000e+2,-3.449447e+1
1.370000e+2,-3.216614e+1
1.375000e+2,-2.999969e+1
1.380000e+2,-2.797733e+1
1.385000e+2,-2.607232e+1
1.390000e+2,-2.427235e+1
1.395000e+2,-2.258100e+1
1.400000e+2,-2.101276e+1
1.405000e+2,-1.958103e+1
1.410000e+2,-1.828962e+1
1.415000e+2,-1.713302e+1
1.420000e+2,-1.610330e+1
1.425000e+2,-1.518780e+1
1.430000e+2,-1.437042e+1
1.435000e+2,-1.363558e+1
1.440000e+2,-1.297152e+1
1.445000e+2,-1.237810e+1
1.450000e+2,-1.186073e+1
1.455000e+2,-1.141637e+1
1.460000e+2,-1.103854e+1
1.465000e+2,-1.071211e+1
1.470000e+2,-1.042651e+1
1.475000e+2,-1.017605e+1
1.480000e+2,-9.958798e+0
1.485000e+2,-9.769733e+0
1.490000e+2,-9.603867e+0
1.495000e+2,-9.455570e+0
1.500000e+2,-9.320251e+0

