
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,19-Mar-2021,Creation_Time,08:01:29,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,gain1
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
4.550000e+1,-9.257838e+1
4.600000e+1,-9.207838e+1
4.650000e+1,-9.157838e+1
4.700000e+1,-9.107838e+1
4.750000e+1,-9.057838e+1
4.800000e+1,-9.007838e+1
4.850000e+1,-8.957838e+1
4.900000e+1,-8.907838e+1
4.950000e+1,-8.857838e+1
5.000000e+1,-8.807838e+1
5.050000e+1,-8.757838e+1
5.100000e+1,-8.707838e+1
5.150000e+1,-8.657838e+1
5.200000e+1,-8.607838e+1
5.250000e+1,-8.557838e+1
5.300000e+1,-8.507838e+1
5.350000e+1,-8.457838e+1
5.400000e+1,-8.407838e+1
5.450000e+1,-8.357838e+1
5.500000e+1,-8.307838e+1
5.550000e+1,-8.257838e+1
5.600000e+1,-8.207838e+1
5.650000e+1,-8.157838e+1
5.700000e+1,-8.107838e+1
5.750000e+1,-8.057838e+1
5.800000e+1,-8.007838e+1
5.850000e+1,-7.957838e+1
5.900000e+1,-7.907838e+1
5.950000e+1,-7.857838e+1
6.000000e+1,-7.807838e+1
6.050000e+1,-7.757838e+1
6.100000e+1,-7.707838e+1
6.150000e+1,-7.657838e+1
6.200000e+1,-7.607838e+1
6.250000e+1,-7.557838e+1
6.300000e+1,-7.507838e+1
6.350000e+1,-7.457838e+1
6.400000e+1,-7.407838e+1
6.450000e+1,-7.357838e+1
6.500000e+1,-7.307838e+1
6.550000e+1,-7.257838e+1
6.600000e+1,-7.207838e+1
6.650000e+1,-7.157838e+1
6.700000e+1,-7.107838e+1
6.750000e+1,-7.057838e+1
6.800000e+1,-7.007838e+1
6.850000e+1,-6.957838e+1
6.900000e+1,-6.907838e+1
6.950000e+1,-6.857838e+1
7.000000e+1,-6.807838e+1
7.050000e+1,-6.757838e+1
7.100000e+1,-6.707838e+1
7.150000e+1,-6.657838e+1
7.200000e+1,-6.607838e+1
7.250000e+1,-6.557838e+1
7.300000e+1,-6.507838e+1
7.350000e+1,-6.457838e+1
7.400000e+1,-6.407838e+1
7.450000e+1,-6.357838e+1
7.500000e+1,-6.307838e+1
7.550000e+1,-6.257838e+1
7.600000e+1,-6.207838e+1
7.650000e+1,-6.157838e+1
7.700000e+1,-6.107838e+1
7.750000e+1,-6.057838e+1
7.800000e+1,-6.007838e+1
7.850000e+1,-5.957838e+1
7.900000e+1,-5.907838e+1
7.950000e+1,-5.857838e+1
8.000000e+1,-5.807838e+1
8.050000e+1,-5.757838e+1
8.100000e+1,-5.707838e+1
8.150000e+1,-5.657838e+1
8.200000e+1,-5.607838e+1
8.250000e+1,-5.557838e+1
8.300000e+1,-5.507838e+1
8.350000e+1,-5.457838e+1
8.400000e+1,-5.407838e+1
8.450000e+1,-5.357838e+1
8.500000e+1,-5.307837e+1
8.550000e+1,-5.257837e+1
8.600000e+1,-5.207837e+1
8.650000e+1,-5.157837e+1
8.700000e+1,-5.107837e+1
8.750000e+1,-5.057837e+1
8.800000e+1,-5.007837e+1
8.850000e+1,-4.957837e+1
8.900000e+1,-4.907837e+1
8.950000e+1,-4.857837e+1
9.000000e+1,-4.807837e+1
9.050000e+1,-4.757837e+1
9.100000e+1,-4.707837e+1
9.150000e+1,-4.657836e+1
9.200000e+1,-4.607836e+1
9.250000e+1,-4.557836e+1
9.300000e+1,-4.507836e+1
9.350000e+1,-4.457836e+1
9.400000e+1,-4.407835e+1
9.450000e+1,-4.357835e+1
9.500000e+1,-4.307835e+1
9.550000e+1,-4.257834e+1
9.600000e+1,-4.207834e+1
9.650000e+1,-4.157834e+1
9.700000e+1,-4.107833e+1
9.750000e+1,-4.057833e+1
9.800000e+1,-4.007832e+1
9.850000e+1,-3.957831e+1
9.900000e+1,-3.907830e+1
9.950000e+1,-3.857830e+1
1.000000e+2,-3.807829e+1
1.005000e+2,-3.757827e+1
1.010000e+2,-3.707826e+1
1.015000e+2,-3.657825e+1
1.020000e+2,-3.607823e+1
1.025000e+2,-3.557822e+1
1.030000e+2,-3.507820e+1
1.035000e+2,-3.457817e+1
1.040000e+2,-3.407815e+1
1.045000e+2,-3.357812e+1
1.050000e+2,-3.307809e+1
1.055000e+2,-3.257806e+1
1.060000e+2,-3.207802e+1
1.065000e+2,-3.157797e+1
1.070000e+2,-3.107792e+1
1.075000e+2,-3.057787e+1
1.080000e+2,-3.007781e+1
1.085000e+2,-2.957774e+1
1.090000e+2,-2.907766e+1
1.095000e+2,-2.857758e+1
1.100000e+2,-2.807748e+1
1.105000e+2,-2.757737e+1
1.110000e+2,-2.707725e+1
1.115000e+2,-2.657711e+1
1.120000e+2,-2.607696e+1
1.125000e+2,-2.557679e+1
1.130000e+2,-2.507660e+1
1.135000e+2,-2.457634e+1
1.140000e+2,-2.407586e+1
1.145000e+2,-2.357528e+1
1.150000e+2,-2.307467e+1
1.155000e+2,-2.257365e+1
1.160000e+2,-2.207208e+1
1.165000e+2,-2.157023e+1
1.170000e+2,-2.106825e+1
1.175000e+2,-2.056646e+1
1.180000e+2,-2.006478e+1
1.185000e+2,-1.956320e+1
1.190000e+2,-1.906134e+1
1.195000e+2,-1.855902e+1
1.200000e+2,-1.805612e+1
1.205000e+2,-1.755262e+1
1.210000e+2,-1.704881e+1
1.215000e+2,-1.654479e+1
1.220000e+2,-1.604056e+1
1.225000e+2,-1.553612e+1
1.230000e+2,-1.503149e+1
1.235000e+2,-1.452675e+1
1.240000e+2,-1.402178e+1
1.245000e+2,-1.351656e+1
1.250000e+2,-1.301107e+1
1.255000e+2,-1.250530e+1
1.260000e+2,-1.199929e+1
1.265000e+2,-1.149308e+1
1.270000e+2,-1.098666e+1
1.275000e+2,-1.047984e+1
1.280000e+2,-9.972804e+0
1.285000e+2,-9.465762e+0
1.290000e+2,-8.958879e+0
1.295000e+2,-8.452320e+0
1.300000e+2,-7.946382e+0
1.305000e+2,-7.441256e+0
1.310000e+2,-6.937354e+0
1.315000e+2,-6.435402e+0
1.320000e+2,-5.936139e+0
1.325000e+2,-5.440403e+0
1.330000e+2,-4.949263e+0
1.335000e+2,-4.463968e+0
1.340000e+2,-3.985924e+0
1.345000e+2,-3.516731e+0
1.350000e+2,-3.057973e+0
1.355000e+2,-2.611354e+0
1.360000e+2,-2.178565e+0
1.365000e+2,-1.761245e+0
1.370000e+2,-1.361053e+0
1.375000e+2,-9.797622e-1
1.380000e+2,-6.193085e-1
1.385000e+2,-2.824834e-1
1.390000e+2,2.862782e-2
1.395000e+2,3.139474e-1
1.400000e+2,5.755972e-1
1.405000e+2,8.166379e-1
1.410000e+2,1.039708e+0
1.415000e+2,1.246680e+0
1.420000e+2,1.438606e+0
1.425000e+2,1.616402e+0
1.430000e+2,1.780913e+0
1.435000e+2,1.932739e+0
1.440000e+2,2.071745e+0
1.445000e+2,2.195892e+0
1.450000e+2,2.303669e+0
1.455000e+2,2.395749e+0
1.460000e+2,2.474334e+0
1.465000e+2,2.541894e+0
1.470000e+2,2.600672e+0
1.475000e+2,2.652540e+0
1.480000e+2,2.698979e+0
1.485000e+2,2.741141e+0
1.490000e+2,2.779904e+0
1.495000e+2,2.814757e+0
1.500000e+2,2.846362e+0

