.HEADER
..NAMES
,wf7
..UNITS
,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
.DATA
-1.220000e+2,2.075308e+0
-1.210000e+2,2.183339e+0
-1.200000e+2,1.914191e+0
-1.190000e+2,1.998734e+0
-1.180000e+2,2.009876e+0
-1.170000e+2,2.198746e+0
-1.160000e+2,1.952358e+0
-1.150000e+2,2.022308e+0
-1.140000e+2,2.061405e+0
-1.130000e+2,1.928737e+0
-1.120000e+2,1.991472e+0
-1.110000e+2,2.028744e+0
-1.100000e+2,2.015515e+0
-1.090000e+2,2.002023e+0
-1.080000e+2,1.995787e+0
-1.070000e+2,1.999777e+0
-1.060000e+2,1.998111e+0
-1.050000e+2,1.999282e+0
-1.040000e+2,1.989726e+0
-1.030000e+2,1.987103e+0
-1.020000e+2,1.992670e+0
-1.010000e+2,1.987761e+0
-1.000000e+2,1.977324e+0
-9.900000e+1,1.978380e+0
-9.800000e+1,1.977586e+0
-9.700000e+1,1.974139e+0
-9.600000e+1,1.970018e+0
-9.500000e+1,1.965520e+0
-9.400000e+1,1.961807e+0
-9.300000e+1,1.957463e+0
-9.200000e+1,1.951515e+0
-9.100000e+1,1.945261e+0
-9.000000e+1,1.938518e+0
-8.900000e+1,1.930879e+0
-8.800000e+1,1.922199e+0
-8.700000e+1,1.912590e+0
-8.600000e+1,1.901289e+0
-8.500000e+1,1.888996e+0
-8.400000e+1,1.875217e+0
-8.300000e+1,1.859674e+0
-8.200000e+1,1.842255e+0
-8.100000e+1,1.822857e+0
-8.000000e+1,1.801481e+0
-7.900000e+1,1.778163e+0
-7.800000e+1,1.753161e+0
-7.700000e+1,1.727173e+0
-7.600000e+1,1.701622e+0
-7.500000e+1,1.679134e+0
-7.400000e+1,1.664211e+0
-7.300000e+1,1.664389e+0
-7.200000e+1,1.691213e+0
-7.100000e+1,1.760358e+0
-7.000000e+1,1.888757e+0
-6.900000e+1,2.086357e+0
-6.800000e+1,2.261311e+0
-6.700000e+1,2.530513e+0
-6.600000e+1,2.866735e+0
-6.500000e+1,3.082142e+0
-6.400000e+1,3.226219e+0
-6.300000e+1,3.306251e+0
-6.200000e+1,3.339334e+0
-6.100000e+1,3.342390e+0
-6.000000e+1,3.328184e+0
-5.900000e+1,3.305109e+0
-5.800000e+1,3.278243e+0
-5.700000e+1,3.250478e+0
-5.600000e+1,3.223352e+0
-5.500000e+1,3.199231e+0
-5.400000e+1,3.175320e+0
-5.300000e+1,3.151398e+0
-5.200000e+1,3.130323e+0
-5.100000e+1,3.110370e+0
-5.000000e+1,3.091166e+0
-4.900000e+1,3.072186e+0
-4.800000e+1,9.152720e+0
