
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,19-Mar-2021,Creation_Time,08:01:29,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pindbm
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
4.550000e+1,-1.152264e+2
4.600000e+1,-1.147264e+2
4.650000e+1,-1.142264e+2
4.700000e+1,-1.137264e+2
4.750000e+1,-1.132264e+2
4.800000e+1,-1.127264e+2
4.850000e+1,-1.122264e+2
4.900000e+1,-1.117264e+2
4.950000e+1,-1.112264e+2
5.000000e+1,-1.107264e+2
5.050000e+1,-1.102264e+2
5.100000e+1,-1.097264e+2
5.150000e+1,-1.092264e+2
5.200000e+1,-1.087264e+2
5.250000e+1,-1.082264e+2
5.300000e+1,-1.077264e+2
5.350000e+1,-1.072264e+2
5.400000e+1,-1.067264e+2
5.450000e+1,-1.062264e+2
5.500000e+1,-1.057264e+2
5.550000e+1,-1.052264e+2
5.600000e+1,-1.047264e+2
5.650000e+1,-1.042264e+2
5.700000e+1,-1.037264e+2
5.750000e+1,-1.032264e+2
5.800000e+1,-1.027264e+2
5.850000e+1,-1.022264e+2
5.900000e+1,-1.017264e+2
5.950000e+1,-1.012264e+2
6.000000e+1,-1.007264e+2
6.050000e+1,-1.002264e+2
6.100000e+1,-9.972640e+1
6.150000e+1,-9.922640e+1
6.200000e+1,-9.872640e+1
6.250000e+1,-9.822640e+1
6.300000e+1,-9.772640e+1
6.350000e+1,-9.722640e+1
6.400000e+1,-9.672640e+1
6.450000e+1,-9.622640e+1
6.500000e+1,-9.572640e+1
6.550000e+1,-9.522640e+1
6.600000e+1,-9.472640e+1
6.650000e+1,-9.422640e+1
6.700000e+1,-9.372640e+1
6.750000e+1,-9.322640e+1
6.800000e+1,-9.272640e+1
6.850000e+1,-9.222640e+1
6.900000e+1,-9.172640e+1
6.950000e+1,-9.122640e+1
7.000000e+1,-9.072640e+1
7.050000e+1,-9.022640e+1
7.100000e+1,-8.972640e+1
7.150000e+1,-8.922640e+1
7.200000e+1,-8.872640e+1
7.250000e+1,-8.822640e+1
7.300000e+1,-8.772640e+1
7.350000e+1,-8.722640e+1
7.400000e+1,-8.672640e+1
7.450000e+1,-8.622640e+1
7.500000e+1,-8.572640e+1
7.550000e+1,-8.522640e+1
7.600000e+1,-8.472640e+1
7.650000e+1,-8.422640e+1
7.700000e+1,-8.372640e+1
7.750000e+1,-8.322640e+1
7.800000e+1,-8.272640e+1
7.850000e+1,-8.222640e+1
7.900000e+1,-8.172640e+1
7.950000e+1,-8.122640e+1
8.000000e+1,-8.072640e+1
8.050000e+1,-8.022640e+1
8.100000e+1,-7.972640e+1
8.150000e+1,-7.922640e+1
8.200000e+1,-7.872640e+1
8.250000e+1,-7.822640e+1
8.300000e+1,-7.772640e+1
8.350000e+1,-7.722640e+1
8.400000e+1,-7.672640e+1
8.450000e+1,-7.622640e+1
8.500000e+1,-7.572640e+1
8.550000e+1,-7.522640e+1
8.600000e+1,-7.472640e+1
8.650000e+1,-7.422640e+1
8.700000e+1,-7.372640e+1
8.750000e+1,-7.322640e+1
8.800000e+1,-7.272640e+1
8.850000e+1,-7.222640e+1
8.900000e+1,-7.172640e+1
8.950000e+1,-7.122639e+1
9.000000e+1,-7.072639e+1
9.050000e+1,-7.022639e+1
9.100000e+1,-6.972639e+1
9.150000e+1,-6.922639e+1
9.200000e+1,-6.872639e+1
9.250000e+1,-6.822639e+1
9.300000e+1,-6.772639e+1
9.350000e+1,-6.722638e+1
9.400000e+1,-6.672638e+1
9.450000e+1,-6.622638e+1
9.500000e+1,-6.572638e+1
9.550000e+1,-6.522638e+1
9.600000e+1,-6.472637e+1
9.650000e+1,-6.422637e+1
9.700000e+1,-6.372637e+1
9.750000e+1,-6.322637e+1
9.800000e+1,-6.272636e+1
9.850000e+1,-6.222636e+1
9.900000e+1,-6.172635e+1
9.950000e+1,-6.122635e+1
1.000000e+2,-6.072634e+1
1.005000e+2,-6.022634e+1
1.010000e+2,-5.972633e+1
1.015000e+2,-5.922632e+1
1.020000e+2,-5.872631e+1
1.025000e+2,-5.822631e+1
1.030000e+2,-5.772629e+1
1.035000e+2,-5.722628e+1
1.040000e+2,-5.672627e+1
1.045000e+2,-5.622626e+1
1.050000e+2,-5.572624e+1
1.055000e+2,-5.522622e+1
1.060000e+2,-5.472621e+1
1.065000e+2,-5.422618e+1
1.070000e+2,-5.372616e+1
1.075000e+2,-5.322613e+1
1.080000e+2,-5.272610e+1
1.085000e+2,-5.222607e+1
1.090000e+2,-5.172603e+1
1.095000e+2,-5.122599e+1
1.100000e+2,-5.072595e+1
1.105000e+2,-5.022590e+1
1.110000e+2,-4.972584e+1
1.115000e+2,-4.922578e+1
1.120000e+2,-4.872571e+1
1.125000e+2,-4.822563e+1
1.130000e+2,-4.772554e+1
1.135000e+2,-4.722574e+1
1.140000e+2,-4.672728e+1
1.145000e+2,-4.623125e+1
1.150000e+2,-4.573661e+1
1.155000e+2,-4.524298e+1
1.160000e+2,-4.474967e+1
1.165000e+2,-4.425634e+1
1.170000e+2,-4.376376e+1
1.175000e+2,-4.327183e+1
1.180000e+2,-4.278035e+1
1.185000e+2,-4.228903e+1
1.190000e+2,-4.179806e+1
1.195000e+2,-4.130723e+1
1.200000e+2,-4.081630e+1
1.205000e+2,-4.032462e+1
1.210000e+2,-3.983228e+1
1.215000e+2,-3.933932e+1
1.220000e+2,-3.884605e+1
1.225000e+2,-3.835240e+1
1.230000e+2,-3.785817e+1
1.235000e+2,-3.736333e+1
1.240000e+2,-3.686789e+1
1.245000e+2,-3.637186e+1
1.250000e+2,-3.587527e+1
1.255000e+2,-3.537852e+1
1.260000e+2,-3.488153e+1
1.265000e+2,-3.438405e+1
1.270000e+2,-3.388603e+1
1.275000e+2,-3.338735e+1
1.280000e+2,-3.288811e+1
1.285000e+2,-3.238839e+1
1.290000e+2,-3.188824e+1
1.295000e+2,-3.138769e+1
1.300000e+2,-3.088685e+1
1.305000e+2,-3.038580e+1
1.310000e+2,-2.988461e+1
1.315000e+2,-2.938357e+1
1.320000e+2,-2.888304e+1
1.325000e+2,-2.838326e+1
1.330000e+2,-2.788446e+1
1.335000e+2,-2.738696e+1
1.340000e+2,-2.689112e+1
1.345000e+2,-2.639729e+1
1.350000e+2,-2.590583e+1
1.355000e+2,-2.541706e+1
1.360000e+2,-2.493121e+1
1.365000e+2,-2.444850e+1
1.370000e+2,-2.396906e+1
1.375000e+2,-2.349301e+1
1.380000e+2,-2.302058e+1
1.385000e+2,-2.255236e+1
1.390000e+2,-2.208899e+1
1.395000e+2,-2.163084e+1
1.400000e+2,-2.117828e+1
1.405000e+2,-2.073078e+1
1.410000e+2,-2.028771e+1
1.415000e+2,-1.984888e+1
1.420000e+2,-1.941414e+1
1.425000e+2,-1.898391e+1
1.430000e+2,-1.855873e+1
1.435000e+2,-1.813810e+1
1.440000e+2,-1.772251e+1
1.445000e+2,-1.731545e+1
1.450000e+2,-1.691819e+1
1.455000e+2,-1.653061e+1
1.460000e+2,-1.614966e+1
1.465000e+2,-1.577439e+1
1.470000e+2,-1.540226e+1
1.475000e+2,-1.503126e+1
1.480000e+2,-1.466104e+1
1.485000e+2,-1.429027e+1
1.490000e+2,-1.391786e+1
1.495000e+2,-1.354275e+1
1.500000e+2,-1.316362e+1

