
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Apr-2021,Creation_Time,08:03:41,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,iip2
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.500000e+1,5.239751e+0
-5.400000e+1,7.596657e+0
-5.300000e+1,1.003611e+1
-5.200000e+1,1.251332e+1
-5.100000e+1,1.497289e+1
-5.000000e+1,1.733994e+1
-4.900000e+1,1.947848e+1
-4.800000e+1,2.110413e+1
-4.700000e+1,2.200725e+1
-4.600000e+1,2.237712e+1
-4.500000e+1,2.241474e+1
-4.400000e+1,2.231479e+1
-4.300000e+1,2.213559e+1
-4.200000e+1,2.190191e+1
-4.100000e+1,2.164199e+1
-4.000000e+1,2.133586e+1
-3.900000e+1,2.096407e+1
-3.800000e+1,2.057547e+1
-3.700000e+1,2.060044e+1
-3.600000e+1,2.063372e+1
-3.500000e+1,2.028803e+1
-3.400000e+1,1.965391e+1
-3.300000e+1,1.879244e+1
-3.200000e+1,1.778591e+1
-3.100000e+1,1.663746e+1
-3.000000e+1,1.538497e+1
-2.900000e+1,1.406257e+1
-2.800000e+1,1.268485e+1
-2.700000e+1,1.126426e+1
-2.600000e+1,9.833639e+0
-2.500000e+1,8.439994e+0
-2.400000e+1,7.112011e+0
-2.300000e+1,5.921763e+0
-2.200000e+1,4.909647e+0
-2.100000e+1,4.161699e+0
-2.000000e+1,3.758798e+0
-1.900000e+1,3.808479e+0
-1.800000e+1,4.463807e+0
-1.700000e+1,6.030803e+0
-1.600000e+1,9.322554e+0
-1.500000e+1,1.827056e+1
-1.400000e+1,1.625925e+1
-1.300000e+1,6.717377e+0
-1.200000e+1,2.320723e+0
-1.100000e+1,-2.712702e-1
-1.000000e+1,-1.872486e+0

