
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Apr-2021,Creation_Time,07:29:46,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,im3
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.500000e+1,-1.218381e+2
-5.400000e+1,-1.293968e+2
-5.300000e+1,-1.336831e+2
-5.200000e+1,-1.330463e+2
-5.100000e+1,-1.336353e+2
-5.000000e+1,-1.336862e+2
-4.900000e+1,-1.341950e+2
-4.800000e+1,-1.355315e+2
-4.700000e+1,-1.373981e+2
-4.600000e+1,-1.391801e+2
-4.500000e+1,-1.428116e+2
-4.400000e+1,-1.415223e+2
-4.300000e+1,-1.506237e+2
-4.200000e+1,-1.392124e+2
-4.100000e+1,-1.347305e+2
-4.000000e+1,-1.299970e+2
-3.900000e+1,-1.252398e+2
-3.800000e+1,-1.219214e+2
-3.700000e+1,-1.191807e+2
-3.600000e+1,-1.165453e+2
-3.500000e+1,-1.137384e+2
-3.400000e+1,-1.109726e+2
-3.300000e+1,-1.083758e+2
-3.200000e+1,-1.055581e+2
-3.100000e+1,-1.029863e+2
-3.000000e+1,-9.963455e+1
-2.900000e+1,-9.690907e+1
-2.800000e+1,-9.385200e+1
-2.700000e+1,-9.124620e+1
-2.600000e+1,-8.807044e+1
-2.500000e+1,-8.552793e+1
-2.400000e+1,-8.234719e+1
-2.300000e+1,-7.934319e+1
-2.200000e+1,-7.540826e+1
-2.100000e+1,-7.102369e+1
-2.000000e+1,-6.602724e+1
-1.900000e+1,-6.090441e+1
-1.800000e+1,-5.608746e+1
-1.700000e+1,-5.151037e+1
-1.600000e+1,-4.717605e+1
-1.500000e+1,-4.307086e+1
-1.400000e+1,-3.925626e+1
-1.300000e+1,-3.585897e+1
-1.200000e+1,-3.296530e+1
-1.100000e+1,-3.059871e+1
-1.000000e+1,-2.868834e+1

