
.DATABASE_PROPERTIES
Simulator_Version,ELDO 16.2 patch1 (64 bits),Creation_Date,18-Apr-2021,Creation_Time,08:03:41,Title,* Component: /home/shivaubuntu/Eldo_file
.END_DATABASE_PROPERTIES

.HEADER
..NAMES
A,pout_if
..UNITS
-,
..DATATYPES
double,double
..WAVEFORM_TYPES
,analog
..AXIS_SPACING
linear
..FOLDER_NAME
EXT
.DATA
-5.500000e+1,-5.683031e+1
-5.400000e+1,-5.583269e+1
-5.300000e+1,-5.483299e+1
-5.200000e+1,-5.383284e+1
-5.100000e+1,-5.283208e+1
-5.000000e+1,-5.183241e+1
-4.900000e+1,-5.083335e+1
-4.800000e+1,-4.983342e+1
-4.700000e+1,-4.883238e+1
-4.600000e+1,-4.783229e+1
-4.500000e+1,-4.683209e+1
-4.400000e+1,-4.583234e+1
-4.300000e+1,-4.483274e+1
-4.200000e+1,-4.383297e+1
-4.100000e+1,-4.283346e+1
-4.000000e+1,-4.183429e+1
-3.900000e+1,-4.083521e+1
-3.800000e+1,-3.983620e+1
-3.700000e+1,-3.883725e+1
-3.600000e+1,-3.783866e+1
-3.500000e+1,-3.684029e+1
-3.400000e+1,-3.584213e+1
-3.300000e+1,-3.484415e+1
-3.200000e+1,-3.384654e+1
-3.100000e+1,-3.284930e+1
-3.000000e+1,-3.185253e+1
-2.900000e+1,-3.085628e+1
-2.800000e+1,-2.986069e+1
-2.700000e+1,-2.886616e+1
-2.600000e+1,-2.787315e+1
-2.500000e+1,-2.688219e+1
-2.400000e+1,-2.589424e+1
-2.300000e+1,-2.491071e+1
-2.200000e+1,-2.393417e+1
-2.100000e+1,-2.296801e+1
-2.000000e+1,-2.201701e+1
-1.900000e+1,-2.108702e+1
-1.800000e+1,-2.018441e+1
-1.700000e+1,-1.931639e+1
-1.600000e+1,-1.849072e+1
-1.500000e+1,-1.771783e+1
-1.400000e+1,-1.701016e+1
-1.300000e+1,-1.637598e+1
-1.200000e+1,-1.581071e+1
-1.100000e+1,-1.529734e+1
-1.000000e+1,-1.481496e+1

